Licitações que incluem este item de material. > uri,Intenções de registro de preço que incluem este item de material. > uri,Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
/licitacoes/v1/licitacoes?item_material=280,/licitacoes/v1/irps?item_material=280,280,"EXPANSAO DE MEMORIA, EXPANSAO DE MEMORIA","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7025: UNIDADES DE ARMAZENAMENTO DE ENTRADA E SAÍDA DE DADOS,7240: EXPANSAO DE MEMORIA,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11100,/licitacoes/v1/irps?item_material=11100,11100,"LEITORA CARTÃO / PEÇAS E ACESSÓRIOS, LEITORA DE CARTOES","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7025: UNIDADES DE ARMAZENAMENTO DE ENTRADA E SAÍDA DE DADOS,8762: LEITORA CARTÃO / PEÇAS E ACESSÓRIOS,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11118,/licitacoes/v1/irps?item_material=11118,11118,"LEITORA DE FITA DE PAPEIS, LEITORA DE FITA DE PAPEIS","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7025: UNIDADES DE ARMAZENAMENTO DE ENTRADA E SAÍDA DE DADOS,8763: LEITORA DE FITA DE PAPEIS,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11126,/licitacoes/v1/irps?item_material=11126,11126,"LEITORA DE CARACTERES MAGNETIZADORES, LEITORA DE CARACTERES MAGNETIZADORES","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7025: UNIDADES DE ARMAZENAMENTO DE ENTRADA E SAÍDA DE DADOS,8760: LEITORA DE CARACTERES MAGNETIZADORES,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11134,/licitacoes/v1/irps?item_material=11134,11134,"LEITORA ÓTICA, LEITORAS DE CARACTERES OPTICOS","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7025: UNIDADES DE ARMAZENAMENTO DE ENTRADA E SAÍDA DE DADOS,8766: LEITORA ÓTICA,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11142,/licitacoes/v1/irps?item_material=11142,11142,"UNIDADE FITA MAGNETICA, UNIDADE DE FITA MAGNETICA","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7025: UNIDADES DE ARMAZENAMENTO DE ENTRADA E SAÍDA DE DADOS,13171: UNIDADE FITA MAGNETICA,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11177,/licitacoes/v1/irps?item_material=11177,11177,"IMPRESSORA, IMPRESSORAS","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7025: UNIDADES DE ARMAZENAMENTO DE ENTRADA E SAÍDA DE DADOS,8320: IMPRESSORA,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11193,/licitacoes/v1/irps?item_material=11193,11193,"TERMINAIS-IMPRESSORAS, TERMINAIS-IMPRESSORAS","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7025: UNIDADES DE ARMAZENAMENTO DE ENTRADA E SAÍDA DE DADOS,12647: TERMINAIS-IMPRESSORAS,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11207,/licitacoes/v1/irps?item_material=11207,11207,"TERMINAIS DE VIDEO A/N, TERMINAIS DE VIDEO A/N","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7025: UNIDADES DE ARMAZENAMENTO DE ENTRADA E SAÍDA DE DADOS,12646: TERMINAIS DE VIDEO A/N,Ativo,Não
/licitacoes/v1/licitacoes?item_material=11223,/licitacoes/v1/irps?item_material=11223,11223,"UNIDADE CENTRAL DE PROCESSAMENTO ( CPU ), UNIDADE CENTRAL DE PROCESSAMENTO ( CPU )","70: EQUIPAMENTO PARA PROCESSAMENTO AUTOMÁTICO DE DADOS,(INCLUIN-DO FIRMWARE), SOFTWARE, ACESSÓRIOS E EQUIPAMENTO DE SUPORTE ",7010: GRUPO DE DISPOSITIVOS FUNCIONANDO COMO UM SISTEMA,13156: UNIDADE CENTRAL DE PROCESSAMENTO ( CPU ),Ativo,Não
